"x","height","name","index"
50,2.92,"Nicole-Reine Lepaute",0
70,2.59,"Adele Goldstine",1
80.57,3,"Barbara Paulson",2
83.21,2.96,"Kathleen Booth",3
107,2.17,"Katherine Johnson",4
125.5,2.84,"Margaret Hamilton (scientist)",5
141.36,1,"Erna Schneider Hoover",6
146.64,2.98,"Jude Milhon",7
165.14,3,"Carol Shaw",8
175.71,2.76,"Susan Kare",9
191.57,2.99,"Jaime Levy",10
191.57,2.87,"Nancy Hafkin",11
202.14,2.88,"Hu Qiheng",12
228.57,2.99,"Lucy Sanders",13
231.21,2.94,"Mary Lou Jepsen",14
255,2.98,"Coraline Ada Ehmke",15
